year, mo, day, hr, min, db, obs, T, hum, wind spd, prec, cover, people
2017,6,23,11,28,49.177,,,,,,,14
2017,6,23,11,29,45.491,,,,,,,
2017,6,23,11,30,43.664,,,,,,,
2017,6,23,11,31,48.459,,,,,,,
2017,6,23,11,32,43.573,,,,,,,
2017,6,23,11,33,44.131,Children,,,,,,
2017,6,23,11,34,45.888,,,,,,,
2017,6,23,11,35,41.979,,,,,,,
2017,6,23,11,36,41.915,,,,,,,
2017,6,23,11,37,53.53,,,,,,,
2017,6,23,11,38,45.887,,,,,,,
2017,6,23,11,39,45.481,,,,,,,
2017,6,23,11,40,44.078,,,,,,,
2017,6,23,11,41,42.179,,,,,,,
2017,6,23,11,42,43.998,,,,,,,
2017,6,23,11,43,44.502,,,,,,,
2017,6,23,11,44,45.27,,,,,,,
2017,6,23,11,45,43.031,,,,,,,
2017,6,23,11,46,43.532,,,,,,,
2017,6,23,11,47,46.001,,,,,,,
2017,6,23,11,48,44.924,,,,,,,
2017,6,23,11,49,42.707,,,,,,,
2017,6,23,11,50,43.946,,,,,,,
2017,6,23,11,51,40.827,,,,,,,
2017,6,23,11,52,41.919,,,,,,,
2017,6,23,11,53,42.262,,,,,,,
2017,6,23,11,54,40.433,,,,,,,
2017,6,23,11,55,42.799,,,,,,,
2017,6,23,11,56,42.656,,64,87,0,0.01,Rain,
2017,6,23,11,57,45.636,,,,,,,19
2017,6,23,11,58,40.895,,,,,,,
2017,6,23,11,59,43.13,,,,,,,
2017,6,23,12,0,44.693,,,,,,,
2017,6,23,12,1,44.221,,,,,,,
2017,6,23,12,2,47.093,,,,,,,
2017,6,23,12,3,43.087,,,,,,,
2017,6,23,12,4,41.751,,,,,,,
2017,6,23,12,5,50.045,,,,,,,
2017,6,23,12,6,52.997,,,,,,,
2017,6,23,12,7,45.678,,,,,,,
2017,6,23,12,8,43.6,,,,,,,
2017,6,23,12,9,47.468,,,,,,,
2017,6,23,12,10,46.271,Crowd,,,,,,
2017,6,23,12,11,49.117,,,,,,,
2017,6,23,12,12,47.497,,,,,,,
2017,6,23,12,13,49.928,,,,,,,
2017,6,23,12,14,40.246,,,,,,,
2017,6,23,12,15,44.128,,,,,,,
2017,6,23,12,16,46.174,,,,,,,
2017,6,23,12,17,45.848,Crowd,,,,,,
2017,6,23,12,18,46.124,,,,,,,
2017,6,23,12,19,45.511,,,,,,,
2017,6,23,12,20,49.771,,,,,,,
2017,6,23,12,21,48.459,,,,,,,
2017,6,23,12,22,45.061,Individual,,,,,,
2017,6,23,12,23,43.99,,,,,,,
2017,6,23,12,24,43.429,,,,,,,
2017,6,23,12,25,41.667,,,,,,,
2017,6,23,12,26,43.498,,,,,,,
2017,6,23,12,27,42.917,,,,,,,7
2017,6,23,12,28,44.993,,,,,,,
2017,6,23,12,29,41.259,,,,,,,
2017,6,23,12,30,45.631,,,,,,,
2017,6,23,12,31,42.228,,,,,,,
2017,6,23,12,32,43.378,,,,,,,
2017,6,23,12,33,43.286,,,,,,,
2017,6,23,12,34,39.969,,,,,,,
2017,6,23,12,35,43.606,,,,,,,
2017,6,23,12,36,40.007,,,,,,,
2017,6,23,12,37,41.359,,,,,,,
2017,6,23,12,38,39.147,,,,,,,
2017,6,23,12,39,40.983,,,,,,,
2017,6,23,12,40,40.868,,,,,,,
2017,6,23,12,41,44.377,,,,,,,
2017,6,23,12,42,44.088,,,,,,,
2017,6,23,12,43,40.118,Baby Crying,,,,,,
2017,6,23,12,44,43.225,,,,,,,
2017,6,23,12,45,41.92,,,,,,,
2017,6,23,12,46,43.749,,,,,,,
2017,6,23,12,47,42.105,,,,,,,
2017,6,23,12,48,41.323,,,,,,,
2017,6,23,12,49,43.569,,,,,,,
2017,6,23,12,50,40.894,,,,,,,
2017,6,23,12,51,44.976,,,,,,,
2017,6,23,12,52,45.111,,,,,,,
2017,6,23,12,53,44.223,Children,,,,,,
2017,6,23,12,54,49.505,,,,,,,
2017,6,23,12,55,43.249,,,,,,,
2017,6,23,12,56,46.497,,66,81,8.1,0.01,Scattered Clouds,
2017,6,23,12,57,40.689,,,,,,,15
2017,6,23,12,58,42.663,,,,,,,
2017,6,23,12,59,47.537,Children,,,,,,
2017,6,23,13,0,46.022,,,,,,,
2017,6,23,13,1,44.517,,,,,,,
2017,6,23,13,2,45.812,,,,,,,
2017,6,23,13,3,48.222,,,,,,,
2017,6,23,13,4,45.964,,,,,,,
2017,6,23,13,5,44.556,,,,,,,
2017,6,23,13,6,42.294,,,,,,,
2017,6,23,13,7,40.823,,,,,,,
2017,6,23,13,8,42.323,,,,,,,
2017,6,23,13,9,45.595,,,,,,,
2017,6,23,13,10,40.676,,,,,,,
2017,6,23,13,11,50.721,,,,,,,
2017,6,23,13,12,46.434,,,,,,,
2017,6,23,13,13,49.399,,,,,,,
2017,6,23,13,14,45.071,,,,,,,
2017,6,23,13,15,40.91,,,,,,,
2017,6,23,13,16,41.304,,,,,,,
2017,6,23,13,17,48.971,,,,,,,
2017,6,23,13,18,54.128,,,,,,,
2017,6,23,13,19,42.373,Children,,,,,,
2017,6,23,13,20,48.135,,,,,,,
2017,6,23,13,21,46.499,,,,,,,
2017,6,23,13,22,45.598,,,,,,,
2017,6,23,13,23,45.844,,,,,,,
2017,6,23,13,24,44.458,,,,,,,
2017,6,23,13,25,46.619,,,,,,,
2017,6,23,13,26,43.21,Baby Crying,,,,,,
2017,6,23,13,27,40.8,,,,,,,8
2017,6,23,13,28,46.417,,,,,,,
2017,6,23,13,29,43.656,,,,,,,
2017,6,23,13,30,44.43,,,,,,,
2017,6,23,13,31,42.619,,,,,,,
2017,6,23,13,32,43.011,,,,,,,
2017,6,23,13,33,42.855,Crowd,,,,,,
2017,6,23,13,34,44.06,,,,,,,
2017,6,23,13,35,44.541,,,,,,,
2017,6,23,13,36,46.532,,,,,,,
2017,6,23,13,37,47.699,Children,,,,,,
2017,6,23,13,38,49.173,,,,,,,
2017,6,23,13,39,46.501,,,,,,,
2017,6,23,13,40,45.007,,,,,,,
2017,6,23,13,41,48.14,,,,,,,
2017,6,23,13,42,43.625,,,,,,,
2017,6,23,13,43,42.713,,,,,,,
2017,6,23,13,44,45.019,,,,,,,
2017,6,23,13,45,44.663,,,,,,,
2017,6,23,13,46,45.41,,,,,,,
2017,6,23,13,47,43.044,,,,,,,
2017,6,23,13,48,41.873,,,,,,,
2017,6,23,13,49,41.009,,,,,,,
2017,6,23,13,50,44.016,Individual,,,,,,
2017,6,23,13,51,48.547,,,,,,,
2017,6,23,13,52,55.654,,,,,,,
2017,6,23,13,53,55.579,No People,,,,,,
2017,6,23,13,54,42.999,No People,,,,,,
