year,mo,day,hr,min,db,obs,T,hum,wind spd,prec,cover,people
2017,6,24,11,20,21.5,invalid,,,,,,
2017,6,24,11,21,21.489,invalid,,,,,,
2017,6,24,11,22,21.521,invalid,,,,,,
2017,6,24,11,23,21.459,invalid,,,,,,
2017,6,24,11,24,21.484,invalid,,,,,,
2017,6,24,11,25,21.544,invalid,,,,,,
2017,6,24,11,26,21.502,invalid,,,,,,
2017,6,24,11,27,21.459,invalid,,,,,,
2017,6,24,11,28,21.474,invalid,,,,,,
2017,6,24,11,29,21.494,invalid,,,,,,
2017,6,24,11,30,21.492,invalid,,,,,,
2017,6,24,11,31,21.495,invalid,,,,,,
2017,6,24,11,32,21.503,invalid,,,,,,
2017,6,24,11,33,21.51,invalid,,,,,,
2017,6,24,11,34,21.522,invalid,,,,,,
2017,6,24,11,35,21.495,invalid,,,,,,
2017,6,24,11,36,21.499,invalid,,,,,,
2017,6,24,11,37,21.495,invalid,,,,,,
2017,6,24,11,38,89.093,,,,,,,
2017,6,24,11,39,69.569,,,,,,,
2017,6,24,11,40,66.54,,,,,,,
2017,6,24,11,41,67.27,,,,,,,
2017,6,24,11,42,66.069,,,,,,,
2017,6,24,11,43,66.909,,,,,,,
2017,6,24,11,44,67.575,,,,,,,
2017,6,24,11,45,65.251,,,,,,,
2017,6,24,11,46,67.107,,,,,,,
2017,6,24,11,47,68.102,,,,,,,
2017,6,24,11,48,66.595,,,,,,,
2017,6,24,11,49,67.511,,,,,,,
2017,6,24,11,50,66.263,,,,,,,
2017,6,24,11,51,65.402,,,,,,,
2017,6,24,11,52,64.556,,,,,,,
2017,6,24,11,53,65.539,,,,,,,
2017,6,24,11,54,65.318,,,,,,,
2017,6,24,11,55,65.987,,,,,,,67
2017,6,24,11,56,65.918,,64,96,11.5,n/a,overcast,
2017,6,24,11,57,66.745,,,,,,,
2017,6,24,11,58,65.732,,,,,,,
2017,6,24,11,59,65.535,,,,,,,
2017,6,24,12,0,66.449,,,,,,,
2017,6,24,12,1,66.678,,,,,,,
2017,6,24,12,2,65.322,,,,,,,
2017,6,24,12,3,64.348,,,,,,,
2017,6,24,12,4,65.682,,,,,,,
2017,6,24,12,5,64.759,,,,,,,
2017,6,24,12,6,66.715,,,,,,,
2017,6,24,12,7,66.223,,,,,,,
2017,6,24,12,8,67.244,,,,,,,
2017,6,24,12,9,66.843,,,,,,,
2017,6,24,12,10,65.967,,,,,,,
2017,6,24,12,11,65.893,,,,,,,
2017,6,24,12,12,65.04,,,,,,,
2017,6,24,12,13,66.141,,,,,,,
2017,6,24,12,14,65.082,,,,,,,
2017,6,24,12,15,66.582,,,,,,,
2017,6,24,12,16,66.267,,,,,,,
2017,6,24,12,17,65.641,,,,,,,
2017,6,24,12,18,65.044,,,,,,,
2017,6,24,12,19,65.936,,,,,,,
2017,6,24,12,20,67.401,,,,,,,
2017,6,24,12,21,66.389,,,,,,,
2017,6,24,12,22,66.345,,,,,,,
2017,6,24,12,23,66.707,,,,,,,
2017,6,24,12,24,66.434,,,,,,,
2017,6,24,12,25,66.238,,,,,,,59
2017,6,24,12,26,65.71,,,,,,,
2017,6,24,12,27,65.656,,,,,,,
2017,6,24,12,28,65.734,,,,,,,
2017,6,24,12,29,65.814,,,,,,,
2017,6,24,12,30,64.798,,,,,,,
2017,6,24,12,31,67.416,,,,,,,
2017,6,24,12,32,67.514,,66.2,94,10.4,n/a,partly cloudy,
2017,6,24,12,33,66.797,child screaming,,,,,,
2017,6,24,12,34,66.618,,,,,,,
2017,6,24,12,35,66.686,,,,,,,
2017,6,24,12,36,67.882,,,,,,,
2017,6,24,12,37,66.335,,,,,,,
2017,6,24,12,38,66.747,,,,,,,
2017,6,24,12,39,66.199,,,,,,,
2017,6,24,12,40,66.303,,,,,,,
2017,6,24,12,41,64.973,,,,,,,
2017,6,24,12,42,65.511,,,,,,,
2017,6,24,12,43,65.048,,,,,,,
2017,6,24,12,44,65.542,,,,,,,
2017,6,24,12,45,65.244,,,,,,,
2017,6,24,12,46,65.311,dog barking,,,,,,
2017,6,24,12,47,64.944,,,,,,,
2017,6,24,12,48,66.196,,,,,,,
2017,6,24,12,49,64.93,,,,,,,
2017,6,24,12,50,64.563,,,,,,,
2017,6,24,12,51,65.158,,,,,,,
2017,6,24,12,52,63.398,,,,,,,
2017,6,24,12,53,65.063,,,,,,,
2017,6,24,12,54,64.435,,,,,,,
2017,6,24,12,55,65.461,,,,,,,90
2017,6,24,12,56,64.309,,66,90,11.5,n/a,clear,
2017,6,24,12,57,63.97,,,,,,,
2017,6,24,12,58,65.061,,,,,,,
2017,6,24,12,59,64.678,,,,,,,
2017,6,24,13,0,64.656,,,,,,,
2017,6,24,13,1,63.677,,,,,,,
2017,6,24,13,2,64.747,,,,,,,
2017,6,24,13,3,64.193,,,,,,,
2017,6,24,13,4,65.583,,,,,,,
2017,6,24,13,5,63.447,,,,,,,
2017,6,24,13,6,63.544,,,,,,,
2017,6,24,13,7,65.075,,,,,,,
2017,6,24,13,8,64.462,,,,,,,
2017,6,24,13,9,64.205,,,,,,,
2017,6,24,13,10,63.46,,,,,,,
2017,6,24,13,11,62.457,,,,,,,
2017,6,24,13,12,63.551,,,,,,,
2017,6,24,13,13,63.953,,,,,,,
2017,6,24,13,14,63.366,,,,,,,
2017,6,24,13,15,65.068,,,,,,,
2017,6,24,13,16,64.614,,,,,,,
2017,6,24,13,17,64.377,,,,,,,
2017,6,24,13,18,65.041,,,,,,,
2017,6,24,13,19,63.665,,,,,,,
2017,6,24,13,20,65.09,,,,,,,
2017,6,24,13,21,64.214,,,,,,,
2017,6,24,13,22,63.621,,,,,,,
2017,6,24,13,23,64.986,,,,,,,
2017,6,24,13,24,64.105,,,,,,,
2017,6,24,13,25,63.723,,,,,,,85
2017,6,24,13,26,64.124,,,,,,,
2017,6,24,13,27,63.592,,,,,,,
2017,6,24,13,28,63.041,,,,,,,
2017,6,24,13,29,63.213,,,,,,,
2017,6,24,13,30,64.443,,,,,,,
2017,6,24,13,31,63.818,,,,,,,
2017,6,24,13,32,63.857,,,,,,,
2017,6,24,13,33,61.663,,,,,,,
2017,6,24,13,34,64.053,,,,,,,
2017,6,24,13,35,63.76,motorcycle driving,,,,,,
2017,6,24,13,36,64.43,,,,,,,
2017,6,24,13,37,62.985,,,,,,,
2017,6,24,13,38,62.016,,,,,,,
2017,6,24,13,39,63.701,,,,,,,
2017,6,24,13,40,65.046,,,,,,,
2017,6,24,13,41,63.947,,,,,,,
2017,6,24,13,42,62.867,,,,,,,
2017,6,24,13,43,64.008,,,,,,,
2017,6,24,13,44,62.811,,,,,,,
2017,6,24,13,45,64.009,,,,,,,
2017,6,24,13,46,63.424,,,,,,,
2017,6,24,13,47,62.466,,,,,,,
2017,6,24,13,48,62.728,,,,,,,
2017,6,24,13,49,63.066,,,,,,,
2017,6,24,13,50,62.744,,,,,,,
2017,6,24,13,51,63.755,,,,,,,
2017,6,24,13,52,63.15,,,,,,,
2017,6,24,13,53,63.485,,,,,,,
2017,6,24,13,54,63.978,,,,,,,
2017,6,24,13,55,63.703,,,,,,,128
2017,6,24,13,56,64.047,,73.9,79,11.5,n/a,mostly cloudy,
2017,6,24,13,57,62.624,,,,,,,
2017,6,24,13,58,62.497,,,,,,,
2017,6,24,13,59,63.542,,,,,,,
2017,6,24,14,0,62.926,,,,,,,
2017,6,24,14,1,63.025,,,,,,,
2017,6,24,14,2,61.894,,,,,,,
2017,6,24,14,3,64.097,,,,,,,
2017,6,24,14,4,63.881,,,,,,,
2017,6,24,14,5,62.85,,,,,,,
2017,6,24,14,6,62.458,,,,,,,
2017,6,24,14,7,63.933,,,,,,,
