year,mo,day,hr,min,db,obs,T,hum,wind spd,prec,cover,people
2017,6,25,9,13,49.656,,,,,,,2
2017,6,25,9,14,50.037,,,,,,,
2017,6,25,9,15,49.61,,,,,,,
2017,6,25,9,16,50.156,,,,,,,
2017,6,25,9,17,49.918,,,,,,,
2017,6,25,9,18,48.765,,,,,,,
2017,6,25,9,19,49.929,,,,,,,
2017,6,25,9,20,49.553,loud conversation,,,,,,
2017,6,25,9,21,50.739,,,,,,,
2017,6,25,9,22,48.627,,,,,,,
2017,6,25,9,23,48.544,,,,,,,
2017,6,25,9,24,49.471,,,,,,,
2017,6,25,9,25,48.93,,,,,,,
2017,6,25,9,26,50.841,,,,,,,
2017,6,25,9,27,47.845,,,,,,,
2017,6,25,9,28,50.56,,,,,,,
2017,6,25,9,29,48.193,,,,,,,
2017,6,25,9,30,47.471,,,,,,,
2017,6,25,9,31,50.086,loud conversation,,,,,,
2017,6,25,9,32,48.461,,,,,,,
2017,6,25,9,33,47.812,,,,,,,
2017,6,25,9,34,47.324,,,,,,,
2017,6,25,9,35,48.58,,,,,,,
2017,6,25,9,36,46.853,,,,,,,
2017,6,25,9,37,47.024,,,,,,,
2017,6,25,9,38,49.902,,,,,,,
2017,6,25,9,39,49.07,,,,,,,
2017,6,25,9,40,49.502,,,,,,,
2017,6,25,9,41,47.729,,,,,,,
2017,6,25,9,42,47.555,,,,,,,
2017,6,25,9,43,48.078,,,,,,,
2017,6,25,9,44,47.781,,,,,,,
2017,6,25,9,45,48.096,,,,,,,
2017,6,25,9,46,48.141,,,,,,,
2017,6,25,9,47,48.471,,,,,,,
2017,6,25,9,48,46.681,,,,,,,
2017,6,25,9,49,47.791,,,,,,,
2017,6,25,9,50,47.069,,,,,,,
2017,6,25,9,51,47.632,,,,,,,
2017,6,25,9,52,47.546,,,,,,,
2017,6,25,9,53,48.081,,,,,,,
2017,6,25,9,54,49.52,,,,,,,
2017,6,25,9,55,49.051,,,,,,,
2017,6,25,9,56,47.446,,73,55,10.4,n/a,clear,
