year, mo, day, hr, min, db, obs, T, hum, wind spd, prec, cover, people
2017,7,20,10,0,44.281,,,,,,,2
2017,7,20,10,1,38.394,,,,,,,
2017,7,20,10,2,43.597,,,,,,,
2017,7,20,10,3,45.277,,,,,,,
2017,7,20,10,4,45.117,,,,,,,
2017,7,20,10,5,43.294,,,,,,,
2017,7,20,10,6,40.123,,,,,,,
2017,7,20,10,7,44.727,,,,,,,
2017,7,20,10,8,46.892,,,,,,,
2017,7,20,10,9,44.128,,,,,,,
2017,7,20,10,10,44.179,,,,,,,
2017,7,20,10,11,46.481,,,,,,,
2017,7,20,10,12,41.67,,,,,,,
2017,7,20,10,13,42.12,,,,,,,8
2017,7,20,10,14,45.253,,,,,,,
2017,7,20,10,15,41.257,,,,,,,
2017,7,20,10,16,40.925,,,,,,,
2017,7,20,10,17,40.521,,,,,,,
2017,7,20,10,18,41.227,,,,,,,
2017,7,20,10,19,38.927,,,,,,,
2017,7,20,10,20,51.178,,,,,,,
2017,7,20,10,21,57.076,,,,,,,
2017,7,20,10,22,54.234,,,,,,,
2017,7,20,10,23,44.54,,,,,,,
2017,7,20,10,24,44.398,,,,,,,
2017,7,20,10,25,44.6,,,,,,,
2017,7,20,10,26,43.044,,,,,,,
2017,7,20,10,27,44.01,,,,,,,
2017,7,20,10,28,45.72,,,,,,,10
2017,7,20,10,29,50.972,,,,,,,
2017,7,20,10,30,42.136,,,,,,,
2017,7,20,10,31,45.191,,,,,,,
2017,7,20,10,32,44.346,,,,,,,
2017,7,20,10,33,46.656,,,,,,,
2017,7,20,10,34,48.283,,,,,,,
2017,7,20,10,35,42.379,,,,,,,
2017,7,20,10,36,46.086,,,,,,,
2017,7,20,10,37,46.518,,,,,,,
2017,7,20,10,38,45.733,,,,,,,
2017,7,20,10,39,47.085,,,,,,,
2017,7,20,10,40,49.338,,,,,,,
2017,7,20,10,41,48.851,,,,,,,
2017,7,20,10,42,44.314,,,,,,,
2017,7,20,10,43,45.528,,,,,,,6
2017,7,20,10,44,47.692,,,,,,,
2017,7,20,10,45,48.725,,,,,,,
2017,7,20,10,46,48.394,,,,,,,
2017,7,20,10,47,46.838,,,,,,,
2017,7,20,10,48,51.498,,,,,,,
2017,7,20,10,49,42.467,,,,,,,
2017,7,20,10,50,45.681,,,,,,,
2017,7,20,10,51,48.113,,,,,,,
2017,7,20,10,52,47.992,,,,,,,
2017,7,20,10,53,50.269,,,,,,,
2017,7,20,10,54,45.45,,,,,,,
2017,7,20,10,55,42.496,,,,,,,
2017,7,20,10,56,46.484,,,,,,,
2017,7,20,10,57,41.252,,,,,,,
2017,7,20,10,58,43.9,,,,,,,4
2017,7,20,10,59,41.727,,,,,,,
2017,7,20,11,0,37.688,,,,,,,
2017,7,20,11,1,44.177,,,,,,,
2017,7,20,11,2,40.92,,,,,,,
2017,7,20,11,3,39.146,,,,,,,
2017,7,20,11,4,42.336,,,,,,,
2017,7,20,11,5,46.086,,,,,,,
2017,7,20,11,6,49.495,,,,,,,
2017,7,20,11,7,41.761,,,,,,,
2017,7,20,11,8,46.212,,,,,,,
2017,7,20,11,9,46.505,,,,,,,
2017,7,20,11,10,50.135,,,,,,,
2017,7,20,11,11,49.036,,,,,,,
2017,7,20,11,12,53.618,,,,,,,
2017,7,20,11,13,49.548,,,,,,,28
2017,7,20,11,14,51.101,,,,,,,
2017,7,20,11,15,50.885,,,,,,,
2017,7,20,11,16,46.942,,,,,,,
2017,7,20,11,17,42.577,,,,,,,
2017,7,20,11,18,47.727,,,,,,,
2017,7,20,11,19,49.316,,,,,,,
2017,7,20,11,20,48.692,,,,,,,
2017,7,20,11,21,44.026,,,,,,,
2017,7,20,11,22,43.702,,,,,,,
2017,7,20,11,23,39.284,,,,,,,
2017,7,20,11,24,41.117,,,,,,,
2017,7,20,11,25,45.516,,,,,,,
2017,7,20,11,26,46.743,,,,,,,
2017,7,20,11,27,44.712,,,,,,,
2017,7,20,11,28,48.445,,,,,,,11
2017,7,20,11,29,49.274,,,,,,,
2017,7,20,11,30,49.028,,,,,,,
2017,7,20,11,31,44.615,,,,,,,
2017,7,20,11,32,49.269,,,,,,,
2017,7,20,11,33,49.964,,,,,,,
2017,7,20,11,34,51.042,,,,,,,
2017,7,20,11,35,51.342,,,,,,,
2017,7,20,11,36,48.207,,,,,,,
2017,7,20,11,37,47.614,,,,,,,
2017,7,20,11,38,47.739,,,,,,,
2017,7,20,11,39,45.542,,,,,,,
2017,7,20,11,40,47.828,,,,,,,
2017,7,20,11,41,47.682,,,,,,,
2017,7,20,11,42,45.049,,,,,,,
2017,7,20,11,43,52.305,,,,,,,14
2017,7,20,11,44,49.016,,,,,,,
2017,7,20,11,45,46.089,,,,,,,
2017,7,20,11,46,48.74,,,,,,,
2017,7,20,11,47,46.744,,,,,,,
2017,7,20,11,48,45.592,,,,,,,16
2017,7,20,11,49,45.966,,,,,,,
2017,7,20,11,50,43.731,,,,,,,
2017,7,20,11,51,47.639,,,,,,,
2017,7,20,11,52,47.615,,,,,,,
2017,7,20,11,53,45.677,,,,,,,
2017,7,20,11,54,45.499,,,,,,,
2017,7,20,11,55,47.246,,,,,,,
2017,7,20,11,56,47.395,,,,,,,
2017,7,20,11,57,44.22,,,,,,,
2017,7,20,11,58,43.962,,,,,,,
2017,7,20,11,59,44.063,,,,,,,
2017,7,20,12,0,50.938,,,,,,,
2017,7,20,12,1,48.768,,,,,,,
2017,7,20,12,2,44.789,,,,,,,
2017,7,20,12,3,44.295,,,,,,,
2017,7,20,12,4,49.113,,,,,,,
2017,7,20,12,5,43.506,,,,,,,
2017,7,20,12,6,42.649,,,,,,,
2017,7,20,12,7,40.887,,,,,,,
2017,7,20,12,8,41.828,,,,,,,
2017,7,20,12,9,42.53,,,,,,,
2017,7,20,12,10,45.787,,,,,,,
2017,7,20,12,11,43.468,,,,,,,
2017,7,20,12,12,47.824,,,,,,,
2017,7,20,12,13,47.211,,,,,,,
2017,7,20,12,14,42.263,,,,,,,
2017,7,20,12,15,42.974,,,,,,,
2017,7,20,12,16,44.52,,,,,,,
2017,7,20,12,17,46.393,,,,,,,
2017,7,20,12,18,49.973,,,,,,,
2017,7,20,12,19,45.123,,,,,,,
2017,7,20,12,20,46.092,,,,,,,
2017,7,20,12,21,47.607,,,,,,,
2017,7,20,12,22,47.133,,,,,,,
2017,7,20,12,23,49.531,,,,,,,
2017,7,20,12,24,46.3,,,,,,,
2017,7,20,12,25,45.832,,,,,,,
2017,7,20,12,26,44.402,,,,,,,
2017,7,20,12,27,46.186,,,,,,,
2017,7,20,12,28,44.296,,,,,,,10
2017,7,20,12,29,45.307,,,,,,,
2017,7,20,12,30,48.835,,,,,,,
2017,7,20,12,31,47.828,,,,,,,
2017,7,20,12,32,49.118,,,,,,,
2017,7,20,12,33,51.53,,,,,,,
2017,7,20,12,34,48.428,,,,,,,
2017,7,20,12,35,49.466,,,,,,,
2017,7,20,12,36,48.473,,,,,,,
2017,7,20,12,37,49.545,,,,,,,
2017,7,20,12,38,49.714,,,,,,,
2017,7,20,12,39,48.863,,,,,,,
2017,7,20,12,40,48.483,,,,,,,
2017,7,20,12,41,48.874,,,,,,,
2017,7,20,12,42,52.357,,,,,,,
2017,7,20,12,43,49.748,,,,,,,9
2017,7,20,12,44,48.42,,,,,,,
2017,7,20,12,45,48.866,,,,,,,
2017,7,20,12,46,45.129,,,,,,,
2017,7,20,12,47,46.575,,,,,,,
2017,7,20,12,48,43.464,,,,,,,
2017,7,20,12,49,42.901,,,,,,,
2017,7,20,12,50,45.919,,,,,,,
2017,7,20,12,51,43.604,,,,,,,
2017,7,20,12,52,44.586,,,,,,,
2017,7,20,12,53,43.108,,,,,,,
2017,7,20,12,54,43.625,,,,,,,
2017,7,20,12,55,39.97,,,,,,,
2017,7,20,12,56,40.459,,,,,,,21
2017,7,20,12,57,48.18,,,,,,,
2017,7,20,12,58,47.832,,,,,,,
2017,7,20,12,59,49.344,,,,,,,
2017,7,20,13,0,52.366,,,,,,,
2017,7,20,13,1,45.942,,,,,,,
2017,7,20,13,2,45.285,,,,,,,
2017,7,20,13,3,46.536,,,,,,,
2017,7,20,13,4,44.239,,,,,,,
2017,7,20,13,5,45.978,,,,,,,
2017,7,20,13,6,46.735,,,,,,,
2017,7,20,13,7,45.415,,,,,,,
2017,7,20,13,8,47.943,,,,,,,
2017,7,20,13,9,50.079,,,,,,,
2017,7,20,13,10,47.256,,,,,,,
2017,7,20,13,11,40.035,,,,,,,
2017,7,20,13,12,38.439,,,,,,,
2017,7,20,13,13,45.036,,,,,,,16
