XL2 Broadband Logging:		$FILENAME                                                     
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-25, 09:12:14
	End:            	--------------------

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-25  	09:12:15  	00:00:01  	51.8    	51.8    
	2017-06-25  	09:12:16  	00:00:02  	51.7    	51.7    
	2017-06-25  	09:12:17  	00:00:03  	52.0    	51.8    
	2017-06-25  	09:12:18  	00:00:04  	52.3    	52.0    
	2017-06-25  	09:12:19  	00:00:05  	52.2    	52.0    
	2017-06-25  	09:12:20  	00:00:06  	77.6    	69.8    
	2017-06-25  	09:12:21  	00:00:07  	65.7    	69.4    
	2017-06-25  	09:12:22  	00:00:08  	80.4    	73.3    
	2017-06-25  	09:12:23  	00:00:09  	76.8    	73.8    
	2017-06-25  	09:12:24  	00:00:10  	53.8    	73.4    
	2017-06-25  	09:12:25  	00:00:11  	54.7    	73.0    
	2017-06-25  	09:12:26  	00:00:12  	55.7    	72.6    
	2017-06-25  	09:12:27  	00:00:13  	49.7    	72.3    
	2017-06-25  	09:12:28  	00:00:14  	54.1    	71.9    
	2017-06-25  	09:12:29  	00:00:15  	49.0    	71.6    
	2017-06-25  	09:12:30  	00:00:16  	53.2    	71.4    
	2017-06-25  	09:12:31  	00:00:17  	53.0    	71.1    
	2017-06-25  	09:12:32  	00:00:18  	49.6    	70.9    
	2017-06-25  	09:12:33  	00:00:19  	47.9    	70.6    
	2017-06-25  	09:12:34  	00:00:20  	47.4    	70.4    
	2017-06-25  	09:12:35  	00:00:21  	47.2    	70.2    
	2017-06-25  	09:12:36  	00:00:22  	47.1    	70.0    
	2017-06-25  	09:12:37  	00:00:23  	48.5    	69.8    
	2017-06-25  	09:12:38  	00:00:24  	48.0    	69.6    
	2017-06-25  	09:12:39  	00:00:25  	47.6    	69.4    
	2017-06-25  	09:12:40  	00:00:26  	47.6    	69.3    
	2017-06-25  	09:12:41  	00:00:27  	46.7    	69.1    
	2017-06-25  	09:12:42  	00:00:28  	46.6    	69.0    
	2017-06-25  	09:12:43  	00:00:29  	46.2    	68.8    
	2017-06-25  	09:12:44  	00:00:30  	46.5    	68.7    
	2017-06-25  	09:12:45  	00:00:31  	47.2    	68.5    
	2017-06-25  	09:12:46  	00:00:32  	46.9    	68.4    
	2017-06-25  	09:12:47  	00:00:33  	47.3    	68.3    
	2017-06-25  	09:12:48  	00:00:34  	47.0    	68.1    
	2017-06-25  	09:12:49  	00:00:35  	47.4    	68.0    
	2017-06-25  	09:12:50  	00:00:36  	48.4    	67.9    
	2017-06-25  	09:12:51  	00:00:37  	48.2    	67.8    
	2017-06-25  	09:12:52  	00:00:38  	47.6    	67.6    
	2017-06-25  	09:12:53  	00:00:39  	47.4    	67.5    
	2017-06-25  	09:12:54  	00:00:40  	47.4    	67.4    
	2017-06-25  	09:12:55  	00:00:41  	47.9    	67.3    
	2017-06-25  	09:12:56  	00:00:42  	48.0    	67.2    
	2017-06-25  	09:12:57  	00:00:43  	48.4    	67.1    
	2017-06-25  	09:12:58  	00:00:44  	49.1    	67.0    
	2017-06-25  	09:12:59  	00:00:45  	48.8    	66.9    
	2017-06-25  	09:13:00  	00:00:46  	49.4    	66.8    
	2017-06-25  	09:13:01  	00:00:47  	50.2    	66.7    
