year,mo,day,hr,min,db,obs,T,hum ,wind spd,prec,cover,people
2017,6,15,14,28,54,,,,,,,
2017,6,15,14,29,53.869,,,,,,,
2017,6,15,14,30,52.87,,,,,,,
2017,6,15,14,31,52.663,motorcycle idling,,,,,,
2017,6,15,14,32,56.842,,,,,,,
2017,6,15,14,33,53.829,car idling,,,,,,
2017,6,15,14,34,54.422,,,,,,,
2017,6,15,14,35,53.459,,,,,,,
2017,6,15,14,36,53.504,,,,,,,
2017,6,15,14,37,53.182,,,,,,,
2017,6,15,14,38,53.508,,,,,,,
2017,6,15,14,39,52.784,,,,,,,
2017,6,15,14,40,54.706,,,,,,,
2017,6,15,14,41,51.732,bus driving,,,,,,
2017,6,15,14,42,52.259,,,,,,,
2017,6,15,14,43,51.611,"motorcycle, dogs barking",,,,,,
2017,6,15,14,44,59.923,,,,,,,
2017,6,15,14,45,51.453,,,,,,,
2017,6,15,14,46,53.537,,,,,,,
2017,6,15,14,47,51.845,,,,,,,
2017,6,15,14,48,51.529,,,,,,,
2017,6,15,14,49,51.358,trolley bell,,,,,,
2017,6,15,14,50,52.288,,,,,,,
2017,6,15,14,51,54.286,,,,,,,
2017,6,15,14,52,59.765,bus starting,,,,,,
2017,6,15,14,53,52.853,,,,,,,
2017,6,15,14,54,50.925,,,,,,,
2017,6,15,14,55,52.536,,,,,,,
2017,6,15,14,56,55.068,,66,45,11.5,0,mostly cloudy,
2017,6,15,14,57,52.505,,,,,,,
2017,6,15,14,58,52.039,,,,,,,
2017,6,15,14,59,53.058,,,,,,,
2017,6,15,15,0,52.102,,,,,,,
2017,6,15,15,1,51.686,,,,,,,
2017,6,15,15,2,50.987,,,,,,,
2017,6,15,15,3,50.864,,,,,,,
2017,6,15,15,4,51.793,,,,,,,
2017,6,15,15,5,51.847,,,,,,,
2017,6,15,15,6,50.7,,,,,,,
2017,6,15,15,7,51.942,,,,,,,
2017,6,15,15,8,51.598,,,,,,,
2017,6,15,15,9,51.827,,,,,,,
2017,6,15,15,10,49.84,,,,,,,
2017,6,15,15,11,53.177,,,,,,,
2017,6,15,15,12,51.448,,,,,,,
2017,6,15,15,13,52.992,,,,,,,
2017,6,15,15,14,51.899,plane engine,,,,,,
2017,6,15,15,15,52.153,,,,,,,
2017,6,15,15,16,51.656,,,,,,,
2017,6,15,15,17,50.622,,,,,,,
2017,6,15,15,18,51.975,,,,,,,
2017,6,15,15,19,51.692,,,,,,,
2017,6,15,15,20,52.369,,,,,,,
2017,6,15,15,21,54.39,,,,,,,
2017,6,15,15,22,51.373,,,,,,,
2017,6,15,15,23,51.718,,,,,,,
2017,6,15,15,24,50.855,,,,,,,
2017,6,15,15,25,49.61,,,,,,,
2017,6,15,15,26,50.764,boat engine,,,,,,
2017,6,15,15,27,50.224,,,,,,,
2017,6,15,15,28,53.613,,,,,,,
2017,6,15,15,29,50.551,,,,,,,
2017,6,15,15,30,52.699,,,,,,,
2017,6,15,15,31,52.778,bus driving,,,,,,
2017,6,15,15,32,53.114,,,,,,,
2017,6,15,15,33,55.398,,,,,,,
2017,6,15,15,34,55.38,,,,,,,
2017,6,15,15,35,51.968,,,,,,,
2017,6,15,15,36,52.473,,,,,,,
2017,6,15,15,37,55.275,,,,,,,
2017,6,15,15,38,52.652,,,,,,,
2017,6,15,15,39,53.415,boat engine,,,,,,
2017,6,15,15,40,58.159,dog barking,,,,,,
2017,6,15,15,41,64.619,,,,,,,
2017,6,15,15,42,53.893,,,,,,,
2017,6,15,15,43,52.442,,,,,,,
2017,6,15,15,44,52.96,,,,,,,
