year,mo,day,hr,min,db,obs,T,hum,wind spd,prec,cover,people
2017,6,19,11,36,50.649,,,,,,,
2017,6,19,11,37,53.268,,,,,,,
2017,6,19,11,38,49.55,,,,,,,
2017,6,19,11,39,49.237,,,,,,,
2017,6,19,11,40,50.682,,,,,,,
2017,6,19,11,41,50.832,,,,,,,
2017,6,19,11,42,53.206,,,,,,,
2017,6,19,11,43,50.949,,,,,,,
2017,6,19,11,44,53.016,,,,,,,
2017,6,19,11,45,50.588,,,,,,,
2017,6,19,11,46,53.651,,,,,,,
2017,6,19,11,47,49.294,,,,,,,
2017,6,19,11,48,50.558,,,,,,,
2017,6,19,11,49,50.737,,,,,,,
2017,6,19,11,50,52.675,,,,,,,
2017,6,19,11,51,53.557,large crowd,,,,,,
2017,6,19,11,52,53.398,,,,,,,
2017,6,19,11,53,53.357,,,,,,,
2017,6,19,11,54,49.293,,,,,,,
2017,6,19,11,55,52.53,,,,,,,
2017,6,19,11,56,51.147,,62.1,100,13.8,n/a,overcast,
2017,6,19,11,57,52.866,,,,,,,
2017,6,19,11,58,52.176,,,,,,,
2017,6,19,11,59,55.55,,,,,,,
2017,6,19,12,0,54.254,"large group, children",,,,,,
2017,6,19,12,1,54.03,,,,,,,
2017,6,19,12,2,55.653,,,,,,,
2017,6,19,12,3,49.552,truck driving,,,,,,
2017,6,19,12,4,52.227,,,,,,,
2017,6,19,12,5,50.297,,,,,,,
2017,6,19,12,6,50.351,,,,,,,
2017,6,19,12,7,49.929,bicycles,,,,,,
2017,6,19,12,8,49.93,,,,,,,
2017,6,19,12,9,52.129,,,,,,,
2017,6,19,12,10,49.848,small crowd,,,,,,
2017,6,19,12,11,52.159,,,,,,,
2017,6,19,12,12,51.087,dumpster door banging,,,,,,
2017,6,19,12,13,52.123,,,,,,,
2017,6,19,12,14,51.422,,,,,,,
2017,6,19,12,15,48.911,small crowd,,,,,,
2017,6,19,12,16,51.908,,,,,,,
2017,6,19,12,17,52.172,,,,,,,
2017,6,19,12,18,51.201,,,,,,,
2017,6,19,12,19,50.811,small crowd,,,,,,
2017,6,19,12,20,50.727,,,,,,,
2017,6,19,12,21,50.223,bicycle ,,,,,,
2017,6,19,12,22,51.062,,,,,,,
2017,6,19,12,23,50.095,,,,,,,
2017,6,19,12,24,50.488,,,,,,,
2017,6,19,12,25,50.972,,,,,,,
2017,6,19,12,26,51.166,,,,,,,
2017,6,19,12,27,50.878,large crowd,,,,,,
2017,6,19,12,28,53.179,,,,,,,
2017,6,19,12,29,57.104,hecklers,,,,,,
2017,6,19,12,30,55.965,,62.6,94,15,n/a,overcast,
2017,6,19,12,31,50.793,,,,,,,
2017,6,19,12,32,49.841,"small crowd, people laughing",,,,,,
2017,6,19,12,33,53.45,,,,,,,
2017,6,19,12,34,54.947,,,,,,,
2017,6,19,12,35,53.541,,,,,,,
2017,6,19,12,36,49.442,,,,,,,
2017,6,19,12,37,52.846,large crowd,,,,,,
2017,6,19,12,38,56.943,,,,,,,
2017,6,19,12,39,53.006,people cheering,,,,,,
2017,6,19,12,40,61.128,people cheering,,,,,,
2017,6,19,12,41,58.496,,,,,,,
2017,6,19,12,42,54.09,people cheering,62.6,100,16.1,n/a,overcast,
2017,6,19,12,43,59.481,,,,,,,
2017,6,19,12,44,51.755,people cheering,,,,,,
2017,6,19,12,45,62.255,,,,,,,
2017,6,19,12,46,52.309,,,,,,,
2017,6,19,12,47,52.371,,62.6,100,16.1,n/a,overcast,
2017,6,19,12,48,54.035,,,,,,,
2017,6,19,12,49,56.933,,,,,,,
2017,6,19,12,50,55.07,small crowd,,,,,,
2017,6,19,12,51,56.039,people cheering,,,,,,
2017,6,19,12,52,61.247,bicycle,,,,,,
2017,6,19,12,53,54.607,,,,,,,
