year, mo, day, hr, min, db, obs, T, hum, wind spd, prec, cover, people
2017,6,21,9,21,61.408,,,,,,,
2017,6,21,9,22,59.552,,,,,,,
2017,6,21,9,23,58.831,,,,,,,
2017,6,21,9,24,60.478,,,,,,,
2017,6,21,9,25,60.952,,,,,,,
2017,6,21,9,26,58.817,,,,,,,
2017,6,21,9,27,59.427,,,,,,,
2017,6,21,9,28,58.854,,,,,,,
2017,6,21,9,29,58.654,,,,,,,
2017,6,21,9,30,58.866,,,,,,,9
2017,6,21,9,31,59.016,,,,,,,
2017,6,21,9,32,57.783,,,,,,,
2017,6,21,9,33,58.336,,,,,,,
2017,6,21,9,34,58.491,,,,,,,
2017,6,21,9,35,59.153,,,,,,,
2017,6,21,9,36,58.19,,,,,,,
2017,6,21,9,37,58.441,,,,,,,
2017,6,21,9,38,58.928,,,,,,,
2017,6,21,9,39,58.791,,,,,,,
2017,6,21,9,40,57.332,,,,,,,
2017,6,21,9,41,58.932,Motorcycle,,,,,,
2017,6,21,9,42,57.692,Motorcycle,,,,,,
2017,6,21,9,43,60.429,Motorcycle,,,,,,
2017,6,21,9,44,59.981,,,,,,,
2017,6,21,9,45,57.15,,,,,,,
2017,6,21,9,46,58.566,,,,,,,
2017,6,21,9,47,60.011,,,,,,,
2017,6,21,9,48,60.192,,,,,,,
2017,6,21,9,49,58.252,,,,,,,
2017,6,21,9,50,58.931,,,,,,,
2017,6,21,9,51,59.327,,,,,,,
2017,6,21,9,52,57.885,,,,,,,
2017,6,21,9,53,59.131,,,,,,,
2017,6,21,9,54,57.862,,,,,,,
2017,6,21,9,55,58.661,,,,,,,
2017,6,21,9,56,59.368,,71.1,66,10.4,n/a,Clear,
2017,6,21,9,57,58.007,,,,,,,
2017,6,21,9,58,58.749,,,,,,,
2017,6,21,9,59,59.645,,,,,,,
2017,6,21,10,0,58.762,,,,,,,17
2017,6,21,10,1,58.129,,,,,,,
2017,6,21,10,2,59.146,,,,,,,
