year, mo, day, hr, min, db, obs, T, hum, wind spd, prec, cover, people
2017,6,28,8,57,39.103,,61,83,6.9,n/a,overcast,14
2017,6,28,8,58,43.951,,,,,,,
2017,6,28,8,59,40.731,Baby Crying,,,,,,
2017,6,28,9,0,43.026,,,,,,,
2017,6,28,9,1,36.751,,,,,,,
2017,6,28,9,2,52.888,,,,,,,
2017,6,28,9,3,44.338,,,,,,,
2017,6,28,9,4,36.73,,,,,,,
2017,6,28,9,5,37.321,,,,,,,
2017,6,28,9,6,36.345,,,,,,,
2017,6,28,9,7,39.016,,,,,,,
2017,6,28,9,8,38.553,,,,,,,
2017,6,28,9,9,41.28,,,,,,,
2017,6,28,9,10,37.307,,,,,,,
2017,6,28,9,11,37.018,,,,,,,
2017,6,28,9,12,37.395,,,,,,,
2017,6,28,9,13,37.873,,,,,,,
2017,6,28,9,14,38.122,,,,,,,
2017,6,28,9,15,38.411,,,,,,,
2017,6,28,9,16,40.058,,,,,,,
2017,6,28,9,17,41.708,,,,,,,
2017,6,28,9,18,42.087,,,,,,,
2017,6,28,9,19,46.669,Crowd,,,,,,
2017,6,28,9,20,42.3,,,,,,,
2017,6,28,9,21,41.505,,,,,,,
2017,6,28,9,22,46.792,,,,,,,
2017,6,28,9,23,40.735,,,,,,,
2017,6,28,9,24,40.889,,,,,,,
2017,6,28,9,25,45.05,,,,,,,
2017,6,28,9,26,37.117,Individual,,,,,,19
2017,6,28,9,27,39.345,,,,,,,
2017,6,28,9,28,51.535,,,,,,,
2017,6,28,9,29,38.616,,,,,,,
2017,6,28,9,30,40.493,,,,,,,
2017,6,28,9,31,42.762,,,,,,,
2017,6,28,9,32,40.912,,,,,,,
2017,6,28,9,33,41.404,,,,,,,
2017,6,28,9,34,37.979,,,,,,,
2017,6,28,9,35,51.578,,,,,,,
2017,6,28,9,36,40.099,,,,,,,
2017,6,28,9,37,40.287,,,,,,,
2017,6,28,9,38,37.376,,,,,,,
2017,6,28,9,39,38.667,,,,,,,
2017,6,28,9,40,38.393,,,,,,,
2017,6,28,9,41,48.273,,,,,,,
2017,6,28,9,42,41.641,,,,,,,
2017,6,28,9,43,46.251,,,,,,,
2017,6,28,9,44,40.28,,,,,,,
2017,6,28,9,45,41.46,,,,,,,
2017,6,28,9,46,38.353,,,,,,,
2017,6,28,9,47,40.877,,,,,,,
2017,6,28,9,48,39.149,,,,,,,
2017,6,28,9,49,44.401,,,,,,,
2017,6,28,9,50,45.316,Crowd,,,,,,
2017,6,28,9,51,42.193,,,,,,,
2017,6,28,9,52,45.717,,,,,,,
2017,6,28,9,53,47.473,,,,,,,
2017,6,28,9,54,45.993,,,,,,,
2017,6,28,9,55,45.468,,,,,,,
2017,6,28,9,56,38.585,,62.1,78,3.5,n/a,overcast,19
2017,6,28,9,57,36.209,,,,,,,
2017,6,28,9,58,35.789,,,,,,,
2017,6,28,9,59,38.692,,,,,,,
2017,6,28,10,0,39.862,,,,,,,
2017,6,28,10,1,39.135,,,,,,,
2017,6,28,10,2,42.659,,,,,,,
2017,6,28,10,3,48.492,,,,,,,
2017,6,28,10,4,47.413,,,,,,,
2017,6,28,10,5,45.934,,,,,,,
