year,mo,day,hr,min,db,obs,T,hum,wind spd,prec,cover,people
2017,7,3,8,56,51.192,,71,73,9.2,n/a,clear,10
2017,7,3,8,57,41.955,,,,,,,
2017,7,3,8,58,38.295,,,,,,,
2017,7,3,8,59,36.497,,,,,,,
2017,7,3,9,0,40.23,,,,,,,
2017,7,3,9,1,45.609,,,,,,,
2017,7,3,9,2,44.462,,,,,,,
2017,7,3,9,3,45.024,,,,,,,
2017,7,3,9,4,46.423,,,,,,,
2017,7,3,9,5,45.79,,,,,,,
2017,7,3,9,6,43.329,,,,,,,
2017,7,3,9,7,42.627,,,,,,,
2017,7,3,9,8,53.989,,,,,,,
2017,7,3,9,9,42.507,,,,,,,
2017,7,3,9,10,44.931,,,,,,,
2017,7,3,9,11,48.501,,,,,,,
2017,7,3,9,12,47.2,,,,,,,
2017,7,3,9,13,53.436,,,,,,,
2017,7,3,9,14,52.216,,,,,,,
2017,7,3,9,15,46.307,,,,,,,
2017,7,3,9,16,46.43,,,,,,,
2017,7,3,9,17,42.795,,,,,,,
2017,7,3,9,18,42.512,backup alarm,,,,,,
2017,7,3,9,19,38.581,,,,,,,
2017,7,3,9,20,41.859,,,,,,,
2017,7,3,9,21,43.403,,,,,,,
2017,7,3,9,22,42.433,,,,,,,
2017,7,3,9,23,40.444,,,,,,,
2017,7,3,9,24,40.168,,,,,,,
2017,7,3,9,25,40.345,,,,,,,33
2017,7,3,9,26,43.504,,,,,,,
2017,7,3,9,27,38.786,,,,,,,
2017,7,3,9,28,37.406,,,,,,,
2017,7,3,9,29,41.143,,,,,,,
2017,7,3,9,30,45.823,,,,,,,
2017,7,3,9,31,45.608,,,,,,,
2017,7,3,9,32,47.716,,,,,,,
2017,7,3,9,33,46.696,,,,,,,
2017,7,3,9,34,45.171,adult yelling,,,,,,
2017,7,3,9,35,50.079,,,,,,,
2017,7,3,9,36,49.081,,,,,,,
2017,7,3,9,37,56.957,,,,,,,
2017,7,3,9,38,37.865,group yelling,,,,,,
2017,7,3,9,39,41.572,,,,,,,
2017,7,3,9,40,46.935,,,,,,,
2017,7,3,9,41,51.997,,,,,,,
2017,7,3,9,42,44.359,"group yelling, group laughing",,,,,,
2017,7,3,9,43,43.017,,,,,,,
2017,7,3,9,44,43.682,,,,,,,
