year, mo, day, hr, min, db, obs, T, hum, wind spd, prec, cover, people
2017,7,19,10,44,43.325,,,,,,,
2017,7,19,10,45,45.625,,,,,,,
2017,7,19,10,46,51.083,,,,,,,
2017,7,19,10,47,49.332,,,,,,,
2017,7,19,10,48,50.016,,,,,,,
2017,7,19,10,49,49.038,,,,,,,9
2017,7,19,10,50,42.535,,,,,,,
2017,7,19,10,51,50.532,,,,,,,
2017,7,19,10,52,51.075,,,,,,,
2017,7,19,10,53,44.262,,,,,,,
2017,7,19,10,54,43.874,,,,,,,
2017,7,19,10,55,54.349,,,,,,,
2017,7,19,10,56,50.523,,,,,,,
2017,7,19,10,57,41.789,,,,,,,
2017,7,19,10,58,44.738,,,,,,,
2017,7,19,10,59,42.149,,,,,,,
2017,7,19,11,0,44.538,,,,,,,
2017,7,19,11,1,47.468,,,,,,,
2017,7,19,11,2,47.076,,,,,,,
2017,7,19,11,3,46.759,,,,,,,
2017,7,19,11,4,50.913,,,,,,,
2017,7,19,11,5,50.661,,,,,,,
2017,7,19,11,6,44.405,,,,,,,
2017,7,19,11,7,40.76,,,,,,,
2017,7,19,11,8,48.18,,,,,,,11
2017,7,19,11,9,51.093,,,,,,,
2017,7,19,11,10,44.441,,,,,,,
2017,7,19,11,11,46.481,,,,,,,
2017,7,19,11,12,40.37,,,,,,,
2017,7,19,11,13,47.066,,,,,,,
2017,7,19,11,14,47.202,,,,,,,
2017,7,19,11,15,47.766,,,,,,,
2017,7,19,11,16,44.962,,,,,,,
2017,7,19,11,17,46.105,,,,,,,
2017,7,19,11,18,46.474,,,,,,,
2017,7,19,11,19,50.36,,,,,,,
2017,7,19,11,20,50.619,,,,,,,
2017,7,19,11,21,51.544,,,,,,,
2017,7,19,11,22,45.975,,,,,,,
2017,7,19,11,23,48.364,,,,,,,
2017,7,19,11,24,49.709,,,,,,,18
2017,7,19,11,25,47.583,,,,,,,
2017,7,19,11,26,49.768,,,,,,,
2017,7,19,11,27,50.222,,,,,,,
2017,7,19,11,28,49.598,,,,,,,
2017,7,19,11,29,47.42,,,,,,,
2017,7,19,11,30,43.663,,,,,,,
2017,7,19,11,31,52.3,,,,,,,
2017,7,19,11,32,57.241,,,,,,,
2017,7,19,11,33,61.727,,,,,,,
2017,7,19,11,34,49.809,,,,,,,
2017,7,19,11,35,50.813,,,,,,,
2017,7,19,11,36,52.794,,,,,,,
2017,7,19,11,37,45.511,,,,,,,
2017,7,19,11,38,43.466,,,,,,,
2017,7,19,11,39,50.147,,,,,,,
2017,7,19,11,40,42.836,,,,,,,
2017,7,19,11,41,50.151,,,,,,,
2017,7,19,11,42,44.713,,,,,,,12
2017,7,19,11,43,47.364,,,,,,,
2017,7,19,11,44,51.833,,,,,,,
2017,7,19,11,45,48.36,,,,,,,
2017,7,19,11,46,47.533,,,,,,,
2017,7,19,11,47,45.204,,,,,,,
2017,7,19,11,48,46.529,,,,,,,
2017,7,19,11,49,48.347,,,,,,,
2017,7,19,11,50,50.068,,,,,,,
2017,7,19,11,51,48.951,,,,,,,
2017,7,19,11,52,48.739,,,,,,,
2017,7,19,11,53,47.988,,,,,,,
2017,7,19,11,54,47.761,,,,,,,
2017,7,19,11,55,53.121,,,,,,,
2017,7,19,11,56,56.069,,,,,,,
2017,7,19,11,57,54.286,,,,,,,
2017,7,19,11,58,49.843,,,,,,,
2017,7,19,11,59,61.063,,,,,,,
2017,7,19,12,0,54.121,,,,,,,20
2017,7,19,12,1,55.757,,,,,,,
2017,7,19,12,2,54.469,,,,,,,
2017,7,19,12,3,52.67,,,,,,,
2017,7,19,12,4,48.968,,,,,,,
2017,7,19,12,5,53.413,,,,,,,
2017,7,19,12,6,49.801,,,,,,,
2017,7,19,12,7,51.597,,,,,,,
2017,7,19,12,8,46.649,,,,,,,
2017,7,19,12,9,46.733,,,,,,,
2017,7,19,12,10,47.037,,,,,,,
2017,7,19,12,11,50.458,,,,,,,
2017,7,19,12,12,50.23,,,,,,,
2017,7,19,12,13,46.482,,,,,,,
2017,7,19,12,14,45.834,,,,,,,
2017,7,19,12,15,45.885,,,,,,,
2017,7,19,12,16,49.963,,,,,,,
2017,7,19,12,17,47.471,,,,,,,
2017,7,19,12,18,44.922,,,,,,,
2017,7,19,12,19,53.197,,,,,,,
2017,7,19,12,20,48.961,,,,,,,12
2017,7,19,12,21,46.384,,,,,,,
2017,7,19,12,22,50.113,,,,,,,
2017,7,19,12,23,50.112,,,,,,,
2017,7,19,12,24,50.721,,,,,,,
2017,7,19,12,25,52.274,,,,,,,
2017,7,19,12,26,52.187,,,,,,,
2017,7,19,12,27,50.025,,,,,,,
2017,7,19,12,28,50.122,,,,,,,
2017,7,19,12,29,51.734,,,,,,,
2017,7,19,12,30,50.757,,,,,,,
2017,7,19,12,31,47.412,,,,,,,
2017,7,19,12,32,46.876,,,,,,,
2017,7,19,12,33,51.685,,,,,,,
2017,7,19,12,34,50.73,,,,,,,
2017,7,19,12,35,49.339,,,,,,,
2017,7,19,12,36,49.414,,,,,,,
2017,7,19,12,37,51.183,,,,,,,
2017,7,19,12,38,46.208,,,,,,,
2017,7,19,12,39,49.713,,,,,,,10
2017,7,19,12,40,50.777,,,,,,,
2017,7,19,12,41,49.491,,,,,,,
2017,7,19,12,42,51.052,,,,,,,
2017,7,19,12,43,55.078,,,,,,,
2017,7,19,12,44,53.66,,,,,,,
2017,7,19,12,45,53.385,,,,,,,
2017,7,19,12,46,47.797,,,,,,,
2017,7,19,12,47,50.258,,,,,,,
2017,7,19,12,48,47.076,,,,,,,
2017,7,19,12,49,49.878,,,,,,,
2017,7,19,12,50,50.929,,,,,,,
2017,7,19,12,51,49.703,,,,,,,
2017,7,19,12,52,47.943,,,,,,,
2017,7,19,12,53,48.685,,,,,,,
2017,7,19,12,54,45.429,,,,,,,
2017,7,19,12,55,48.063,,,,,,,
2017,7,19,12,56,52.646,,,,,,,
2017,7,19,12,57,50.849,,,,,,,1
2017,7,19,12,58,48.529,,,,,,,
2017,7,19,12,59,49.939,,,,,,,
2017,7,19,13,0,47.928,,,,,,,
2017,7,19,13,1,49.229,,,,,,,
2017,7,19,13,2,50.732,,,,,,,
2017,7,19,13,3,49.157,,,,,,,
2017,7,19,13,4,48.197,,,,,,,
2017,7,19,13,5,44.98,,,,,,,
2017,7,19,13,6,48.134,,,,,,,
2017,7,19,13,7,50.77,,,,,,,
2017,7,19,13,8,53.518,,,,,,,
2017,7,19,13,9,46.699,,,,,,,
2017,7,19,13,10,47.984,,,,,,,
2017,7,19,13,11,49.121,,,,,,,
2017,7,19,13,12,50.796,,,,,,,
2017,7,19,13,13,52.933,,,,,,,
2017,7,19,13,14,52.654,,,,,,,
2017,7,19,13,15,53.539,,,,,,,11
2017,7,19,13,16,56.353,,,,,,,
2017,7,19,13,17,49.948,,,,,,,
2017,7,19,13,18,50.353,,,,,,,
2017,7,19,13,19,52.519,,,,,,,
2017,7,19,13,20,58.155,,,,,,,
2017,7,19,13,21,52.155,,,,,,,
2017,7,19,13,22,51.676,,,,,,,
2017,7,19,13,23,48.848,,,,,,,
2017,7,19,13,24,54.107,,,,,,,
2017,7,19,13,25,54.361,,,,,,,
2017,7,19,13,26,48.574,,,,,,,
2017,7,19,13,27,51.579,,,,,,,
2017,7,19,13,28,50.636,,,,,,,
2017,7,19,13,29,52.424,,,,,,,
2017,7,19,13,30,49.082,,,,,,,
2017,7,19,13,31,52.092,,,,,,,
2017,7,19,13,32,52.041,,,,,,,
2017,7,19,13,33,47.238,,,,,,,
2017,7,19,13,34,44.306,,,,,,,15
2017,7,19,13,35,47.765,,,,,,,
2017,7,19,13,36,46.42,,,,,,,
2017,7,19,13,37,45.548,,,,,,,
2017,7,19,13,38,49.592,,,,,,,
2017,7,19,13,39,55.342,,,,,,,
2017,7,19,13,40,53.366,,,,,,,
2017,7,19,13,41,55.01,,,,,,,
2017,7,19,13,42,50.895,,,,,,,
2017,7,19,13,43,54.383,,,,,,,
2017,7,19,13,44,49.751,,,,,,,
2017,7,19,13,45,43.143,,,,,,,
2017,7,19,13,46,47.69,,,,,,,
2017,7,19,13,47,55.159,,,,,,,
2017,7,19,13,48,47.647,,,,,,,
2017,7,19,13,49,49.144,,,,,,,
2017,7,19,13,50,47.527,,,,,,,
2017,7,19,13,51,49.005,,,,,,,
2017,7,19,13,52,44.717,,,,,,,6
2017,7,19,13,53,54.583,,,,,,,
2017,7,19,13,54,49.801,,,,,,,
2017,7,19,13,55,45.369,,,,,,,
2017,7,19,13,56,48.625,,,,,,,
2017,7,19,13,57,45.603,,,,,,,
2017,7,19,13,58,43.349,,,,,,,
2017,7,19,13,59,46.724,,,,,,,
2017,7,19,14,0,48.113,,,,,,,
2017,7,19,14,1,48.34,,,,,,,
2017,7,19,14,2,48.928,,,,,,,
2017,7,19,14,3,50.41,,,,,,,
2017,7,19,14,4,49.833,,,,,,,
2017,7,19,14,5,49.962,,,,,,,
2017,7,19,14,6,45.113,,,,,,,
2017,7,19,14,7,49.107,,,,,,,
2017,7,19,14,8,46.91,,,,,,,
2017,7,19,14,9,51.992,,,,,,,
2017,7,19,14,10,52.61,,,,,,,
2017,7,19,14,11,46.032,,,,,,,11
2017,7,19,14,12,50.173,,,,,,,
2017,7,19,14,13,51.163,,,,,,,
2017,7,19,14,14,53.261,,,,,,,
2017,7,19,14,15,48.698,,,,,,,
2017,7,19,14,16,52.76,,,,,,,
2017,7,19,14,17,51.958,,,,,,,
2017,7,19,14,18,52.711,,,,,,,
2017,7,19,14,19,52.199,,,,,,,
2017,7,19,14,20,48.199,,,,,,,
2017,7,19,14,21,51.593,,,,,,,
2017,7,19,14,22,51.563,,,,,,,
2017,7,19,14,23,60.45,,,,,,,
2017,7,19,14,24,54.567,,,,,,,
2017,7,19,14,25,52.011,,,,,,,
2017,7,19,14,26,51.598,,,,,,,
2017,7,19,14,27,50.461,,,,,,,
2017,7,19,14,28,51.384,,,,,,,
2017,7,19,14,29,53.394,,,,,,,6
2017,7,19,14,30,48.698,,,,,,,
2017,7,19,14,31,50.504,,,,,,,
2017,7,19,14,32,48.07,,,,,,,
2017,7,19,14,33,47.501,,,,,,,
2017,7,19,14,34,45.409,,,,,,,
2017,7,19,14,35,45.888,,,,,,,
2017,7,19,14,36,53.468,,,,,,,
2017,7,19,14,37,50.952,,,,,,,
2017,7,19,14,38,45.69,,,,,,,
2017,7,19,14,39,51.451,,,,,,,
2017,7,19,14,40,50.703,,,,,,,
2017,7,19,14,41,54.615,,,,,,,
2017,7,19,14,42,46.698,,,,,,,
2017,7,19,14,43,46.986,,,,,,,
2017,7,19,14,44,46.828,,,,,,,
2017,7,19,14,45,47.958,,,,,,,
2017,7,19,14,46,51.463,,,,,,,
2017,7,19,14,47,50.657,,,,,,,8
2017,7,19,14,48,46.436,,,,,,,
2017,7,19,14,49,52.469,,,,,,,
2017,7,19,14,50,50.966,,,,,,,
