XL2 Broadband Logging:		TESTING17\6-21_SLM_000_123_Log.txt                            
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-21, 09:20:36
	End:            	2017-06-21, 14:33:39

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-21  	09:20:37  	00:00:01  	59.6    	59.6    
	2017-06-21  	09:20:38  	00:00:02  	62.3    	61.1    
	2017-06-21  	09:20:39  	00:00:03  	57.0    	60.1    
	2017-06-21  	09:20:40  	00:00:04  	73.8    	68.3    
	2017-06-21  	09:20:41  	00:00:05  	80.9    	74.8    
	2017-06-21  	09:20:42  	00:00:06  	64.8    	74.1    
	2017-06-21  	09:20:43  	00:00:07  	55.6    	73.4    
	2017-06-21  	09:20:44  	00:00:08  	86.6    	78.8    
	2017-06-21  	09:20:45  	00:00:09  	56.8    	78.3    
	2017-06-21  	09:20:46  	00:00:10  	54.5    	77.9    
	2017-06-21  	09:20:47  	00:00:11  	54.5    	77.5    
	2017-06-21  	09:20:48  	00:00:12  	56.8    	77.1    
	2017-06-21  	09:20:49  	00:00:13  	58.7    	76.8    
	2017-06-21  	09:20:50  	00:00:14  	55.2    	76.4    
	2017-06-21  	09:20:51  	00:00:15  	54.4    	76.1    
	2017-06-21  	09:20:52  	00:00:16  	57.1    	75.9    
	2017-06-21  	09:20:53  	00:00:17  	57.3    	75.6    
	2017-06-21  	09:20:54  	00:00:18  	57.0    	75.4    
	2017-06-21  	09:20:55  	00:00:19  	58.1    	75.1    
	2017-06-21  	09:20:56  	00:00:20  	54.2    	74.9    
	2017-06-21  	09:20:57  	00:00:21  	55.1    	74.7    
	2017-06-21  	09:20:58  	00:00:22  	56.3    	74.5    
	2017-06-21  	09:20:59  	00:00:23  	62.4    	74.3    
	2017-06-21  	09:21:00  	00:00:24  	64.8    	74.2    
	2017-06-21  	09:21:01  	00:00:25  	65.8    	74.0    
	2017-06-21  	09:21:02  	00:00:26  	55.9    	73.8    
	2017-06-21  	09:21:03  	00:00:27  	58.1    	73.7    
	2017-06-21  	09:21:04  	00:00:28  	59.6    	73.5    
	2017-06-21  	09:21:05  	00:00:29  	59.7    	73.4    
	2017-06-21  	09:21:06  	00:00:30  	60.3    	73.2    
	2017-06-21  	09:21:07  	00:00:31  	60.0    	73.1    
	2017-06-21  	09:21:08  	00:00:32  	62.2    	73.0    
	2017-06-21  	09:21:09  	00:00:33  	62.1    	72.9    
	2017-06-21  	09:21:10  	00:00:34  	60.7    	72.7    
	2017-06-21  	09:21:11  	00:00:35  	64.9    	72.6    
	2017-06-21  	09:21:12  	00:00:36  	61.8    	72.5    
